                           Z                           N                  exp_values               uncertainties                c_parameters                       error
                          97                         154     -0.1873909912000000E+04      0.1079300000000000E-01     -0.1886960166607712E+04      0.2616415390007738E-06
                          97                         155     -0.1878792899000000E+04      0.2520000000000000E+00     -0.1889059560192870E+04      0.3247969895992493E-06
                          97                         156     -0.1884227899000000E+04      0.2530000000000000E+00     -0.1899726007309650E+04      0.3165185426816596E-06
                          97                         157     -0.1888884899000000E+04      0.2540000000000000E+00     -0.1901825400894808E+04      0.3775214822734331E-06
                          98                         139     -0.1777394330000000E+04      0.8721600000000000E-01     -0.1772487623290377E+04      0.1770185431751888E-06
                          98                         140     -0.1786243091000000E+04      0.2380000000000000E+00     -0.1783154070407157E+04      0.2574758581126310E-06
                          98                         141     -0.1793274091000000E+04      0.2390000000000000E+00     -0.1792516540715839E+04      0.1771944512911192E-06
                          98                         142     -0.1801556291000000E+04      0.1872000000000000E-01     -0.1795919911109096E+04      0.2463848922548198E-06
                          98                         143     -0.1808288091000000E+04      0.2410000000000000E+00     -0.1805282381417778E+04      0.1509193145002792E-06
                          98                         144     -0.1816302807000000E+04      0.1282600000000000E-01     -0.1815948828534558E+04      0.2443550510896644E-06
                          98                         145     -0.1822816091000000E+04      0.1000000000000000E-05     -0.1818048222119716E+04      0.1488305401363191E-06
                          98                         146     -0.1830354275000000E+04      0.2684000000000000E-02     -0.1828714669236496E+04      0.2485492169644866E-06
                          98                         147     -0.1836518526000000E+04      0.2450000000000000E-02     -0.1838077139545178E+04      0.1475690093097167E-06
                          98                         148     -0.1843884857000000E+04      0.1476000000000000E-02     -0.1841480509938434E+04      0.2680282816820775E-06
                          98                         149     -0.1849942486000000E+04      0.1531400000000000E-01     -0.1850842980247116E+04      0.1697236793636316E-06
                          98                         150     -0.1856879755000000E+04      0.5208000000000000E-02     -0.1861509427363896E+04      0.2653428151164986E-06
                          98                         151     -0.1862466197000000E+04      0.1245000000000000E-02     -0.1863608820949054E+04      0.2093579863104500E-06
                          98                         152     -0.1869090091000000E+04      0.1500000000000000E-02     -0.1874275268065834E+04      0.2968583512414285E-06
                          98                         153     -0.1874196591000000E+04      0.4016000000000000E-02     -0.1876374661650992E+04      0.2585546940095357E-06
                          98                         154     -0.1880368535000000E+04      0.2268000000000000E-02     -0.1887041108767773E+04      0.3373989865674922E-06
                          98                         155     -0.1885172828000000E+04      0.4301000000000000E-02     -0.1896403579076455E+04      0.2563218423964642E-06
                          98                         156     -0.1891204241000000E+04      0.1143000000000000E-01     -0.1899806949469711E+04      0.3841176848817587E-06
